time,PriceUSD,raw_signal,adjusted_signal,dynamic_multiplier,daily_allocation_usd,daily_btc_purchase,mvrv_zone,vol_regime
2017-04-08,1184.41772033898,0.0005726371238899269,0.00040084598672294883,1.00120326129886,100.120326129886,0.08453126326177524,Neutral,High
2017-04-09,1213.63413980129,0.22539129978766212,0.15777390985136347,1.6053177780749357,160.53177780749357,0.13227361734713367,Neutral,High
2017-04-10,1211.64987621274,0.2995297141704751,0.20967079991933255,1.87575716596823,187.57571659682299,0.15481016445371934,Neutral,High
2017-04-11,1229.78493290473,-0.07969908366919504,-0.055789358568436524,0.8458882031328256,84.58882031328257,0.06878342549984352,Neutral,High
2017-04-12,1216.11436785506,-0.7069315958687595,-0.29691127026487896,0.4103545196656587,41.03545196656587,0.033743086218891376,Elevated,High
2017-04-13,1172.5583396844,-0.3508772399965514,-0.24561406799758598,0.4786229252569798,47.86229252569798,0.04081868757044563,Neutral,High
2017-04-14,1174.33323354763,-0.12992916216846068,-0.09095041351792246,0.7612060157922242,76.12060157922242,0.06482027367075704,Neutral,High
2017-04-15,1175.56218901227,-0.15112153381317214,-0.10578507366922049,0.7280720826866174,72.80720826866174,0.06193394866658289,Neutral,High
2017-04-16,1173.6913798948,0.12337478972896275,0.08636235281027392,1.2957466055840734,129.57466055840734,0.11039926063870499,Neutral,High
2017-04-17,1191.90120146113,-0.4296894465934985,-0.5156273359121982,0.21291079416441278,21.291079416441278,0.01786312438509243,Neutral,Medium
2017-04-18,1202.13145803624,0.17560646767171822,0.21072776120606188,1.8817144139707713,188.17144139707713,0.1565315008929784,Neutral,Medium
2017-04-19,1209.56090888369,0.05253857490139257,0.06304628988167107,1.2082087243500748,120.82087243500747,0.09988820864466733,Neutral,Medium
2017-04-20,1235.80307451783,-0.3144249740561438,-0.3773099688673725,0.3224104335962327,32.24104335962327,0.026089143185052094,Neutral,Medium
2017-04-21,1247.33607025132,-0.04557585024671659,-0.05469102029605991,0.8486800142994447,84.86800142994447,0.06803940289552021,Neutral,Medium
2017-04-22,1243.55039257744,-0.038167546350368675,-0.045801055620442406,0.8716187474899003,87.16187474899003,0.0700911481104793,Neutral,Medium
2017-04-23,1250.00148322618,-0.3532008633400261,-0.3532008633400261,0.3465935226890049,34.65935226890049,0.027727448914257886,Neutral,Low
2017-04-24,1257.23944225599,-0.10123194413205971,-0.10123194413205971,0.738085333958434,73.8085333958434,0.05870682299260464,Neutral,Low
2017-04-25,1279.86471741672,-0.8341228638046333,-0.50047371828278,0.2228132828587049,22.28132828587049,0.017409127685653482,Elevated,Low
2017-04-26,1296.48545745178,0.36358937158973137,0.545384057384597,3.0,300.0,0.2313948052989695,Value,Low
2017-04-27,1345.8899556692,-0.1106287228332999,-0.1106287228332999,0.7175690001613437,71.75690001613437,0.05331557733518829,Neutral,Low
2017-04-28,1347.98515552309,0.035485437016363,0.035485437016363,1.1123293288826575,111.23293288826575,0.08251792123415591,Neutral,Low
2017-04-29,1357.71525341905,-0.13270465342196797,-0.13270465342196797,0.6715854892399922,67.15854892399922,0.049464384196080895,Neutral,Low
2017-04-30,1381.9563722969,0.09143084253231364,0.09143084253231364,1.3155995951428123,131.55995951428125,0.095198345006811,Neutral,Low
2017-05-01,1436.9414880187,0.05118299444619563,0.05118299444619563,1.1659648985767535,116.59648985767535,0.08114212779703525,Neutral,Low
2017-05-02,1463.81906846873,-0.17186793652153132,-0.17186793652153132,0.5971399269426104,59.713992694261044,0.040793287900482526,Neutral,Low
2017-05-03,1519.40894447691,0.4922611434775946,0.7383917152163919,3.0,300.0,0.19744519807554617,Value,Low
